db_id,query,question,hardness,lang
divorces_duration_of_marriage_citizenship_categories,"WITH swiss AS (
  SELECT year,
         SUM(amount) AS swiss_divorces
  FROM divorces_duration_of_marriage_citizenship_categories WHERE duration_of_marriage = 'Duration of marriage - total'
    AND citizenship_category_husband = 'Switzerland'
    AND citizenship_category_wife = 'Switzerland'
    AND year BETWEEN 1996 AND 2017
    AND spatialunit_uid = '18_A.ADM1'
  GROUP BY year
),
not_swiss AS (
  SELECT year,
         SUM(amount) AS not_swiss_divorces
  FROM divorces_duration_of_marriage_citizenship_categories WHERE duration_of_marriage = 'Duration of marriage - total'
    AND (citizenship_category_husband = 'Foreign country' OR citizenship_category_wife = 'Foreign country')
    AND year BETWEEN 1996 AND 2017
    AND spatialunit_uid = '18_A.ADM1'
  GROUP BY year
)
SELECT swiss.year,
       COALESCE(swiss.swiss_divorces, 0) AS swiss_divorces,
       COALESCE(not_swiss.not_swiss_divorces, 0) AS not_swiss_divorces,
       ABS(100.0 * COALESCE(swiss.swiss_divorces, 0) / (COALESCE(swiss.swiss_divorces, 0) + COALESCE(not_swiss.not_swiss_divorces, 0))
          - 100.0 * COALESCE(not_swiss.not_swiss_divorces, 0) / (COALESCE(swiss.swiss_divorces, 0) + COALESCE(not_swiss.not_swiss_divorces, 0)))
           AS percentage_difference
FROM swiss JOIN not_swiss ON swiss.year = not_swiss.year
ORDER BY percentage_difference DESC
LIMIT 1;
"," In which year between 1996 and 2017 did the canton of Graubünden experience the biggest difference in the percentage of total divorces between Swiss couples and couples where at least one partner was not Swiss?
",unknown,en
divorces_duration_of_marriage_citizenship_categories,"SELECT su.name, sum(amount) as total_divorces
FROM divorces_duration_of_marriage_citizenship_categories AS div
JOIN spatial_unit AS su ON div.spatialunit_uid = su.spatialunit_uid
WHERE year = 2010
  AND duration_of_marriage = '5-9 years'
  AND (citizenship_category_husband = 'Foreign country' OR citizenship_category_wife = 'Foreign country')
  AND su.spatialunit_uid LIKE '%_A.ADM3'
GROUP BY su.name
ORDER BY total_divorces DESC
LIMIT 1;
"," In 2010, which municipality had the highest number of divorces between couples who were married for 5-9 years and at least one partner was not Swiss?
",unknown,en
divorces_duration_of_marriage_citizenship_categories,"SELECT year, sum(amount) as total_divorces
FROM divorces_duration_of_marriage_citizenship_categories AS div
JOIN spatial_unit AS su ON div.spatialunit_uid = su.spatialunit_uid
WHERE su.spatialunit_uid = '22_A.ADM1'
  AND duration_of_marriage = '15-19 years'
  AND citizenship_category_husband = 'Switzerland'
  AND citizenship_category_wife = 'Switzerland'
GROUP BY year
ORDER BY total_divorces DESC
LIMIT 1;
"," In which year did the canton of Vaud experience the highest number of divorces between Swiss couples who were married for 15-19 years?
",unknown,en
divorces_duration_of_marriage_citizenship_categories,"WITH yearly_totals AS (
  SELECT year, su.name, sum(amount) as total_divorces
  FROM divorces_duration_of_marriage_citizenship_categories AS div
  JOIN spatial_unit AS su ON div.spatialunit_uid = su.spatialunit_uid
  WHERE year BETWEEN 2000 AND 2020
    AND duration_of_marriage = 'Duration of marriage - total'
    AND su.spatialunit_uid LIKE '%_A.ADM3'
  GROUP BY year, su.name
),
year_2000 AS (
  SELECT name, total_divorces
  FROM yearly_totals WHERE year = 2000
),
year_2020 AS (
  SELECT name, total_divorces
  FROM yearly_totals WHERE year = 2020
)
SELECT year_2000.name, (year_2020.total_divorces - year_2000.total_divorces) as divorce_increase
FROM year_2000 JOIN year_2020 ON year_2000.name = year_2020.name
ORDER BY divorce_increase DESC
LIMIT 1;"," Over the years 2000 to 2020, which Swiss municipality experienced the largest increase in total divorces, regardless of citizenship status and duration of marriage?
",unknown,en
marriage_citizenship,"SELECT  T2.name,T1.citizenship_category_wife,T1.citizenship_category_husband,T1.year, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' and T1.year = 2018 and T1.citizenship_category_husband = 'Switzerland' and T1.citizenship_category_wife = 'Foreign country'
ORDER BY  T1.amount ASC
LIMIT 10;
"," In which region are the fewest marriages recorded between Swiss men and foreign women?
",extra,en
marriage_citizenship,"SELECT  T2.name,T1.citizenship_category_wife,T1.citizenship_category_husband,T1.year, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.name ilike '%Reichenbach im Kandertal%' and T1.year = 2020 and T1.citizenship_category_husband = 'Foreign country' and T1.citizenship_category_wife = 'Foreign country';
"," What is the number of marriages in Reichenbach im Kandertal in 2020 where both the wife and husband are citizens of foreign countries?
",unknown,en
marriage_citizenship,"SELECT  T2.name,T1.citizenship_category_wife,T1.citizenship_category_husband,T1.year, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.name ilike '%Heitenried%' and T1.year = 2008  and T1.citizenship_category_wife != 'Citizenship of wife - total' and T1.citizenship_category_husband != 'Citizenship of husband - total';
"," How many marriages occurred in Heitenried in the year 2008 for individuals of different nationalities?
",unknown,en
marriage_citizenship,"SELECT  T2.name,T1.citizenship_category_wife,T1.citizenship_category_husband,T1.year, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' and T1.year = 2010 and T1.citizenship_category_wife = 'Citizenship of wife - total' and T1.citizenship_category_husband = 'Citizenship of husband - total';
"," How many marriages occurred in switzerland in the year 2010?
",extra,en
marriage_citizenship,"(SELECT  T2.name, T2.spatialunit_ontology,T1.year, T1.amount  FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' AND T1.year = 2000  AND T1.citizenship_category_husband = 'Switzerland'  AND T1.citizenship_category_wife = 'Citizenship of wife - total'
AND T1.amount =(SELECT Max(T1.amount) FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' AND T1.year = 2000  AND T1.citizenship_category_husband = 'Switzerland'  AND T1.citizenship_category_wife = 'Citizenship of wife - total' )
LIMIT 1)
UNION ALL
(
SELECT  T2.name, T2.spatialunit_ontology,T1.year, T1.amount  FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' AND T1.year = 2000  AND T1.citizenship_category_husband = 'Switzerland'  AND T1.citizenship_category_wife = 'Citizenship of wife - total'
AND T1.amount =(SELECT MIN(T1.amount) FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' AND T1.year = 2000  AND T1.citizenship_category_husband = 'Switzerland'  AND T1.citizenship_category_wife = 'Citizenship of wife - total' )
LIMIT 1);
"," In 2000, among the municipalities, which had the highest and lowest numbers of marriages where the husbands were Swiss citizens?
",unknown,en
marriage_citizenship,"SELECT  T2.name, T2.spatialunit_ontology,T1.year, T1.amount,T1.citizenship_category_husband,T1.citizenship_category_wife  FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.district = 'True' AND T1.year = 2012  AND T1.citizenship_category_husband = 'Foreign country'  AND T1.citizenship_category_wife = 'Foreign country'
ORDER BY T1.amount DESC
LIMIT 1;
"," What is the highest number of marriages that occurred at the district level in 2012, where both the wife and husband were citizens of foreign countries?
",extra,en
marriage_citizenship,"SELECT  AVG(T1.amount)  FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' AND T1.year = 2012  AND T1.citizenship_category_husband = 'Foreign country' AND  T1.citizenship_category_wife = 'Citizenship of wife - total';
"," In the year 1982, what was the average number of marriages at the municipal level, where the husbands were citizens of foreign countries?
",medium,en
marriage_citizenship,"SELECT  T2.name, T2.spatialunit_ontology,T1.year, T1.amount   FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' AND T1.year = 2012  AND T1.citizenship_category_wife = 'Switzerland' AND  T1.citizenship_category_husband = 'Citizenship of husband - total'
ORDER BY T1.amount ASC
LIMIT 10;
"," Show me the top-10 municipalities with the lowest numbers of marriages that the wives were Swiss citizens on 2016?
",extra,en
marriage_citizenship,"SELECT  T2.name, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True' AND T1.year = 2010  AND T1.citizenship_category_husband = 'Foreign country' AND  T1.citizenship_category_wife = 'Foreign country'
ORDER BY T1.amount DESC
LIMIT 5;
"," Give me the 5 highest numbers of marriages that occurred at the canton level in 2010, where both the wife and husband were citizens of foreign countries?
",extra,en
marriage_citizenship,"SELECT A. * from (SELECT T2.name, T1.citizenship_category_husband, T1.citizenship_category_wife, T1.amount
               FROM marriage_citizenship as T1
                        JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
               WHERE T2.canton = 'True'
                 AND T1.year = 1990
                 AND T1.citizenship_category_husband = 'Foreign country'
                 and T1.citizenship_category_wife = 'Switzerland'
               UNION
               SELECT T2.name, T1.citizenship_category_husband, T1.citizenship_category_wife, T1.amount
               FROM marriage_citizenship as T1
                        JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
               WHERE T2.canton = 'True'
                 AND T1.year = 1990
                 AND T1.citizenship_category_husband = 'Switzerland'
                 and T1.citizenship_category_wife = 'Foreign country') A
ORDER BY A.amount ASC
LIMIT 1;
"," Show me the lowet number of marriages that occurred at the canton level in 1990, where both the wife and husband were from different nationalities?
",unknown,en
marriage_citizenship,"SELECT T2.name, T1.year, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.name ilike '%Oberdorf (BL)%' AND T1.citizenship_category_wife = 'Citizenship of wife - total' and T1.citizenship_category_husband = 'Citizenship of husband - total'
ORDER BY T1.year ASC;
"," How many marriages occurred in Oberdorf (BL) each year?
",unknown,en
marriage_citizenship,"SELECT T2.name, T1.year, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.name ilike '%z_rich%'  AND T2.canton = 'True' AND T1.year >= 2000  AND T1.citizenship_category_wife != 'Citizenship of wife - total' and T1.citizenship_category_husband != 'Citizenship of husband - total'
ORDER BY T1.year ASC, T1.citizenship_category_wife ASC , T1.citizenship_category_husband ASC;
"," Please provide a summary of the number of marriages for each combination of male and female citizenships in the canton of Zurich since 2000.
",unknown,en
marriage_citizenship,"SELECT T2.name, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.canton = 'True' AND T1.year = 2011 AND T1.citizenship_category_husband = 'Switzerland' and T1.citizenship_category_wife = 'Foreign country'
ORDER BY T1.amount DESC
LIMIT 5;
"," Which five cantons have the highest number of marriages between Swiss men and foreign women on 2011?
",extra,en
marriage_citizenship,"SELECT T2.name, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T1.year = 2012 AND T2.canton = 'True' AND (T2.name  ilike '%z_rich%' OR T2.name  ilike '%Neuch_tel%')  AND T1.citizenship_category_wife = 'Foreign country' AND T1.citizenship_category_husband = 'Foreign country'
ORDER BY T1.amount DESC;
"," In terms of the number of marriages between two foreigners on 2012, how does Canton Zurich compare to Canton Neuchâtel?
",unknown,en
marriage_citizenship,"SELECT T1.year, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.country = 'True'  AND T2.name = 'Switzerland'  AND T1.citizenship_category_wife = 'Foreign country' AND T1.citizenship_category_husband = 'Switzerland'
ORDER BY T1.amount DESC
LIMIT 1;
"," which year has the most number of marriage between swiss man and woman from other nationalty in Switzerlan?
",extra,en
marriage_citizenship,"SELECT T1.year, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.canton = 'True' AND T2.name ilike '%Aargau%'  AND T1.citizenship_category_wife = 'Switzerland' AND T1.citizenship_category_husband = 'Foreign country'
ORDER BY T1.amount DESC
LIMIT 1;"," which year has the most number of marriage between swiss femal and man from other nationalty in canton Argua?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT S.name, S.spatialunit_ontology, sum(T.amount) as amount from stock_vehicles as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name ilike '%Z_rich%'  and T.year = 2021 and S.municipal = 'True' and T.fuel_type != 'total'
GROUP BY S.name, S.spatialunit_ontology;
"," How many vehicles do we have in the city of zurich in 2021?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT S.name, S.spatialunit_ontology, sum(T.amount) as amount from stock_vehicles as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name ilike '%Z_rich%'  and T.year = 2020 and (S.canton = 'True' or S.municipal = 'True' or S.district = 'True')
GROUP BY S.name, S.spatialunit_ontology;
"," How many vehicles do we have in zurich in 2020?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT S.name, S.spatialunit_ontology,T.fuel_type,T.year, sum(T.amount) as amount from stock_vehicles as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name ilike '%basel%'  and S.municipal = 'True' and T.fuel_type = 'Electric'
GROUP BY S.spatialunit_ontology, S.name,T.fuel_type, T.year;
"," How many electric cars do we have in the city of basel?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT S.name, S.spatialunit_ontology,T.fuel_type,T.year, sum(T.amount) as amount from stock_vehicles as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name ilike '%basel%'  and S.municipal = 'True' and T.fuel_type ilike '%hybrid%'
GROUP BY S.spatialunit_ontology, S.name,T.fuel_type, T.year;
"," How many hybrid cars do we have in the city of basel?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT S.name, S.spatialunit_ontology,T.fuel_type, sum(T.amount) as amount from stock_vehicles as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE  S.canton = 'True' and T.fuel_type ilike '%diesel%' and T.vehicle_type = 'passenger_cars'
GROUP BY S.spatialunit_ontology, S.name,T.fuel_type;
"," give me the total number of passenger cars that are using diesel in each canton?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT T1.year, T1.population_type,T1.place_of_birth,T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2020 AND T1.population_type = 'Permanent resident population' AND T1.place_of_birth = 'Abroad' AND T1.citizenship = 'Citizenship - total';
"," How many of the permanent population of Switzerlan have been born Aborad on the year of 2020?
",extra,en
resident_population_birthplace_citizenship_type,"SELECT T1.year, T1.population_type,T1.place_of_birth,T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2019 AND T1.population_type = 'Permanent resident population' AND T1.place_of_birth = 'Abroad' AND T1.citizenship = 'Citizenship - total';
"," In year 2019, how many individuals in Switzerland's permanent population were not born within the country's territory?
",extra,en
resident_population_birthplace_citizenship_type,"SELECT T1.year,T1.population_type,T1.place_of_birth,T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2021 AND T1.population_type = 'Non permanent resident population' AND T1.place_of_birth = 'Abroad' AND T1.citizenship = 'Citizenship - total';
"," In 2021, how many people were living in Switzerland who were not born there and did not have permanent residency?
",extra,en
resident_population_birthplace_citizenship_type,"SELECT T1.population_type,T1.place_of_birth,T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2020 AND T1.population_type = 'Permanent resident population' AND T1.place_of_birth = 'Switzerland' AND T1.citizenship != 'Citizenship - total';
"," Can you provide a breakdown of the number of people who hold Swiss permanent residency and were born in Switzerland in 2020, categorized by their respective citizenships?
",extra,en
resident_population_birthplace_citizenship_type,"SELECT sum(un.in), sum(un.out) , sum(un.out)/(sum(un.in)+sum(un.out)) AS percentage FROM
(SELECT T1.year,T1.place_of_birth,T1.citizenship, Sum(T1.amount) as in, sum(0) as out  from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2017  AND T1.place_of_birth = 'Switzerland' AND T1.citizenship = 'Citizenship - total'
GROUP BY T1.year,  T1.place_of_birth, T1.citizenship
UNION
SELECT T1.year,T1.place_of_birth,T1.citizenship, sum(0) as in, Sum(T1.amount) as out from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2017  AND T1.place_of_birth = 'Abroad' AND T1.citizenship = 'Citizenship - total'
GROUP BY T1.year, T1.place_of_birth, T1.citizenship
) AS un;
"," What was the percentage of the population in Switerland who were born in a foreign country on 2017?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT un.in, un.out , un.in/(un.in + un.out) AS percentage FROM
(SELECT T1.year,T1.population_type,T1.place_of_birth,T1.citizenship, T1.amount as in, 0 as out from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2001 AND T1.population_type = 'total' AND T1.place_of_birth = 'Switzerland' AND T1.citizenship = 'Citizenship - total'
UNION
SELECT T1.year,T1.population_type,T1.place_of_birth,T1.citizenship, 0 as in, T1.amount as out from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2001 AND T1.population_type = 'total' AND T1.place_of_birth = 'Abroad' AND T1.citizenship = 'Citizenship - total'
) AS un;
"," In 2021, what percentage of the population in Switzerland consisted of individuals who were born within the country's borders?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT T1.year,T1.population_type,T1.place_of_birth,T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True' AND T2.name ilike '%Zug%' AND T1.year = 2020 AND T1.population_type = 'Non permanent resident population' AND T1.place_of_birth = 'Place of birth - total' AND T1.citizenship = 'Citizenship - total';
"," In 2020, what was the number of individuals categorized as non-permanent residents in the Canton of Zug?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT T1.year, T2.spatialunit_ontology, T2.name, T1.population_type,T1.place_of_birth, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True'  AND T1.year = 2010 AND T1.population_type = 'Permanent resident population' AND T1.place_of_birth = 'Abroad' AND T1.citizenship = 'Citizenship - total';
"," How many of the people were born abroad in municipality level  had the permanent residenship on 2010?
",extra,en
resident_population_birthplace_citizenship_type,"SELECT T1.year, T1.population_type,T1.place_of_birth, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True'  AND T1.year = 2015 AND T1.population_type = 'Non permanent resident population' AND T1.place_of_birth = 'Switzerland' AND T1.citizenship = 'Citizenship - total';
"," How many people who were born in Switzerland  did not possess permanent residency status by 2010?
",extra,en
resident_population_birthplace_citizenship_type,"SELECT T1.year, T2.name, T1.population_type,T1.place_of_birth, T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True'  AND T1.year = 2020 AND T1.population_type = 'Non permanent resident population' AND T1.place_of_birth = 'Switzerland' AND T1.citizenship = 'Citizenship - total'
ORDER BY T1.amount DESC
LIMIT 5;
"," Which municipalities had the largest population of people born in Switzerland who did not have permanent residency by 2020? show me top 5.
",extra,en
resident_population_birthplace_citizenship_type,"SELECT T2.name, T1.place_of_birth, T1.citizenship, Sum(T1.amount) from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True' AND T2.name ilike '%Z_rich%'  AND T1.place_of_birth = 'Abroad' AND T1.citizenship ilike '%Brazil%'
GROUP BY T2.name, T1.place_of_birth, T1.citizenship;
"," How many individuals born abroad in canton zurich hold citizenship from Brazil?
",unknown,en
resident_population_birthplace_citizenship_type,"SELECT T1.citizenship, T1.population_type, T1.place_of_birth,  T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True' AND T2.name ilike '%Obwalden%' AND T1.year = 2011  AND T1.place_of_birth != 'Place of birth - total' AND T1.citizenship != 'Citizenship - total'
ORDER BY citizenship;"," Can you provide the breakdown of the population by different citizenships, different place of the birth and different residentship in the Canton of Obwaldent in 2011?
",unknown,en
government_expenditure_by_function_cofog,"SELECT T.function_cofog_broad as sector_with_highest_expenses_2020
FROM government_expenditure_by_function_cofog as T
WHERE T.institutional_sector = 'Government' AND year = 2020
GROUP BY T.function_cofog_broad, T.year
ORDER BY SUM(T.expenses_in_million_chf) DESC LIMIT 1;
"," Which division had the highest government spending in 2020?
",unknown,en
government_expenditure_by_function_cofog,"SELECT SUM(T.percentage_of_total_expenses) as percentage_for_total_expenses_for_education
FROM government_expenditure_by_function_cofog as T
WHERE institutional_sector = 'Government'
    AND T.year = 2021
    AND T.function_cofog_broad = 'Education'
GROUP BY T.function_cofog_broad;
"," What percentage of the government budget was spent on education in year 2021?
",unknown,en
government_expenditure_by_function_cofog,"SELECT t1.year, t1.function_cofog_narrow, t1.expenses_in_million_chf
FROM government_expenditure_by_function_cofog AS t1
INNER JOIN (
    SELECT year, SUM(expenses_in_million_chf) AS tot_spending
    FROM government_expenditure_by_function_cofog WHERE LOWER(function_cofog_narrow) LIKE '%religious%' AND institutional_sector = 'Canton'
    GROUP BY year
    ORDER BY tot_spending DESC LIMIT 1
) t2 ON t1.year = t2.year
WHERE LOWER(function_cofog_narrow) LIKE '%religio%' AND t1.institutional_sector = 'Canton';
"," What were the cantons' religion-related expenditures in the year of their peak?
",unknown,en
government_expenditure_by_function_cofog,"SELECT SUM(expenses_in_million_chf) as expenses_in_mio_chf, institutional_sector
FROM government_expenditure_by_function_cofog WHERE year = 2018 AND function_cofog_broad = 'Environmental protection'
GROUP BY institutional_sector
ORDER BY SUM(expenses_in_million_chf) ASC;
"," How much did each institutional sector spend on environmental protection in 2018?
",unknown,en
government_expenditure_by_function_cofog,"SELECT expenses_in_million_chf, function_cofog_narrow
FROM government_expenditure_by_function_cofog WHERE (
    LOWER(function_cofog_narrow) LIKE '%police%'
    OR LOWER(function_cofog_narrow) LIKE '%fire - protection%'
)
    AND year = 2020
    AND institutional_sector = 'Government';
"," How did police funding compare to fire funding in year 2020?
",unknown,en
government_expenditure_by_function_cofog,"SELECT year, SUM(T.percentage_of_total_expenses) as precentage_of_total_expenses_for_communication_by_communes
FROM government_expenditure_by_function_cofog as T
WHERE LOWER(function_cofog_narrow) LIKE '%communication%'
    AND institutional_sector = 'Commune'
    AND year >= 2011
GROUP BY year
ORDER BY year ASC;
"," What percentage of the commune budget that has been allocated to communications since 2011?
",unknown,en
government_expenditure_by_function_cofog,"SELECT function_cofog_narrow, expenses_in_million_chf as cantonal_expenses_in_mio_chf_in_2010_on_education
FROM government_expenditure_by_function_cofog as T
WHERE function_cofog_broad = 'Education'
    AND year = 2020
    AND institutional_sector = 'Canton'
ORDER BY expenses_in_million_chf DESC;
"," What is the distribution of cantonal education spending in year 2010?
",unknown,en
medizinisch_technische_infrastruktur,"SELECT SUM(anzahl_gerate) as anzahl_gerate_in_2013
FROM medizinisch_technische_infrastruktur as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND jahr = '2013'
  AND T.genutzte_infrastruktur LIKE '%Angiographie%';
"," Wieviele Angiographiegeräte gab es 2013 in der Schweiz?
",unknown,de
medizinisch_technische_infrastruktur,"SELECT s.name_de as kanton,
  ROUND(SUM(T.anzahl_ambulante_untersuchungen) * 100 / SUM(T.anzahl_untersuchungen_total), 2) as prozent_ambulante_untersuchungen
FROM medizinisch_technische_infrastruktur as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
  AND T.jahr = '2021'
  AND T.genutzte_infrastruktur LIKE 'CT%'
  AND T.anzahl_untersuchungen_total != 0
GROUP BY S.name_de
ORDER BY prozent_ambulante_untersuchungen DESC LIMIT 3;
"," Welche drei Kantone haben 2021 den höchsten prozentualen Anteil an ambulanten CT Untersuchungen und wie hoch war er?
",unknown,de
medizinisch_technische_infrastruktur,"SELECT T.genutzte_infrastruktur,
  ROUND(SUM(T.anzahl_ambulante_untersuchungen) * 100 / SUM(T.anzahl_untersuchungen_total), 2) as prozent_ambulante_untersuchungen
FROM medizinisch_technische_infrastruktur as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND T.anzahl_untersuchungen_total != 0
GROUP BY T.genutzte_infrastruktur
ORDER BY prozent_ambulante_untersuchungen DESC LIMIT 5;
"," Welches fünf medizinische Geräte haben den höchsten prozentualen Anteil an ambulanten Untersuchungen und wie hoch ist er?
",unknown,de
medizinisch_technische_infrastruktur,"SELECT S.name_de as kanton_ohne_ct_scanner_in_2021
FROM medizinisch_technische_infrastruktur as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
  AND T.genutzte_infrastruktur LIKE 'CT%'
  AND T.anzahl_gerate = 0
  AND T.jahr = 2021;
"," Welche Kantone hatten in 2021 noch keinen CT-Scanner?
",unknown,de
